longitude, latitude, idk
-3.187918,55.956669,56
-3.188197,55.956639,57.02
-3.189340,55.956460,60.48
-3.190560,55.956230,63.27
-3.192920,55.955840,70.4
-3.192741,55.955501,72.97
-3.192515,55.955024,76.8
-3.192499,55.954852,76.82
-3.192446,55.954843,76.89
-3.192134,55.954396,77.03
-3.191856,55.953825,78.24
-3.191587,55.953294,78.3
-3.191410,55.952921,73.25
-3.192574,55.952735,73.75
-3.193401,55.952579,74.82
-3.193696,55.952537,75.16
-3.196072,55.952134,70.57
-3.196496,55.952062,69.78
-3.196887,55.951990,69.37
-3.199505,55.951522,66.32
-3.202729,55.950972,68.23
-3.205835,55.950440,69.11
-3.207557,55.950158,71
-3.207783,55.950197,71
-3.208530,55.949960,70.49
-3.209210,55.949660,68.97
-3.210890,55.948960,68
-3.213270,55.947910,65.04
-3.213460,55.947840,65.06
-3.214590,55.947310,65.11
-3.215164,55.947073,65.1
-3.216467,55.946451,63.83
-3.216618,55.946412,63.51
-3.216704,55.946331,62.91
-3.216870,55.946322,62.54
-3.217245,55.946142,60.9
-3.217514,55.946025,59.92
-3.217937,55.945905,59.3
-3.218071,55.945887,59.21
-3.218286,55.945884,59.19
-3.218415,55.945845,58.95
-3.220528,55.945911,58.98
-3.220544,55.945911,59
-3.220646,55.945652,57.79
-3.220786,55.945574,57.42
-3.221059,55.945493,56.96
-3.221236,55.945397,56.38
-3.221381,55.945268,55.61
-3.221494,55.945124,54.74
-3.221574,55.944973,54.1
-3.222765,55.944727,55.68
-3.223801,55.944499,55.16
-3.224874,55.944255,54.42
-3.226075,55.943976,52.55
-3.226767,55.943841,51.88
-3.227384,55.943730,51.14
-3.227781,55.943649,50.79
-3.228162,55.943522,50.39
-3.228650,55.943408,49.71
-3.229181,55.943330,49
-3.229798,55.943324,49
-3.230495,55.943342,48.41
-3.231128,55.943276,47.67
-3.231901,55.943120,47.26
-3.232614,55.942970,47.44
-3.233097,55.942862,47.57
-3.233607,55.942756,47.92
-3.234411,55.942684,48.79
-3.234878,55.942681,49.23
-3.235581,55.942621,48.87
-3.236160,55.942492,48.62
-3.236734,55.942315,48.36
-3.237276,55.941993,48.49
-3.237775,55.941594,48.52
-3.238172,55.941308,47.68
-3.239116,55.941077,49.33
-3.240173,55.940825,49.39
-3.240967,55.940638,50.42
-3.241820,55.940425,49.48
-3.242646,55.940248,46.26
-3.243692,55.940004,44.56
-3.244604,55.939794,44.49
-3.246063,55.939500,45.8
-3.247259,55.939235,46.1
-3.248214,55.939022,46.15
-3.249335,55.938785,46.92
-3.250199,55.938592,47.62
-3.251819,55.938199,49.01
-3.252763,55.937982,48.84
-3.253997,55.937718,48.89
-3.255027,55.937469,49.04
-3.256411,55.937129,49.34
-3.257500,55.936883,49.22
-3.258508,55.936657,48.83
-3.259415,55.936453,48.77
-3.260289,55.936264,49.46
-3.261362,55.936029,49.28
-3.263310,55.935597,48.29
-3.264592,55.935311,50.51
-3.265745,55.935062,50.93
-3.266029,55.934993,51
-3.266196,55.934870,51
-3.266351,55.934707,51
-3.266491,55.934509,51
-3.266544,55.934323,51
-3.266748,55.934064,50.97
-3.266920,55.933863,50.94
-3.267108,55.933731,51.01
-3.267505,55.933686,51.43
-3.267907,55.933638,51.54
-3.268288,55.933553,51.51
-3.268760,55.933445,51.2
-3.269355,55.933319,50.98
-3.270042,55.933190,50.84
-3.270943,55.933028,51.05
-3.271667,55.932904,51.51
-3.272381,55.932775,50.81
-3.273148,55.932652,50.82
-3.273915,55.932547,50.9
-3.274682,55.932445,50.93
-3.275321,55.932361,50.83
-3.275868,55.932273,50.73
-3.276501,55.932159,50.59
-3.277220,55.932036,50.52
-3.277890,55.931913,50.7
-3.278684,55.931756,50.47
-3.279564,55.931567,50
-3.280272,55.931396,49.67
-3.281012,55.931219,49
-3.281602,55.931080,49
-3.282482,55.930870,48.06
-3.283120,55.930717,48.28
-3.284032,55.930494,48.97
-3.284585,55.930362,48.72
-3.285352,55.930176,48.54
-3.285980,55.930041,49.17
-3.286698,55.929884,50.01
-3.287213,55.929782,50.17
-3.287734,55.929692,50.37
-3.288404,55.929572,50.52
-3.288893,55.929503,50.73
-3.289391,55.929431,51.05
-3.290024,55.929319,51.43
-3.290609,55.929235,51.08
-3.291559,55.929100,50.44
-3.292181,55.929040,51.04
-3.293238,55.928899,51.64
-3.294402,55.928769,50.95
-3.295212,55.928676,50.92
-3.296236,55.928568,50.09
-3.297535,55.928427,50.66
-3.298736,55.928304,50.59
-3.299991,55.928156,49.44
-3.301359,55.928009,50.39
-3.302459,55.927880,50.54
-3.302749,55.927859,50.57
-3.303146,55.927847,50.58
-3.303623,55.927829,50.74
-3.304149,55.927775,50.99
-3.304734,55.927705,51.17
-3.305469,55.927630,50.68
-3.306504,55.927516,50.04
-3.307405,55.927420,50.3
-3.307963,55.927357,50.51
-3.309594,55.926984,51.62
-3.310436,55.926915,52.44
-3.310924,55.926984,52.92
-3.311316,55.927137,52.56
-3.311520,55.927321,51.82
-3.311745,55.927630,50.78
-3.312190,55.928150,50.07
-3.312882,55.928992,49.21
-3.313376,55.929698,50.9
-3.313800,55.930377,51.89
-3.314223,55.931017,52
-3.314636,55.931561,52
-3.314947,55.932051,51.97
-3.315275,55.932565,51.84
-3.315591,55.933043,50.7
-3.315838,55.933514,50
-3.316122,55.934013,49.43
-3.316278,55.934365,48.93
-3.316391,55.934692,48.66
-3.316584,55.935191,48.15
-3.316686,55.935672,48
-3.316809,55.936396,45.41
-3.316954,55.937063,44.18
-3.317029,55.937291,44.11
-3.317158,55.937445,44.04
-3.317356,55.937571,44.09
-3.317614,55.937703,44.24
-3.318053,55.937916,44.5
-3.318509,55.938148,44.82
-3.319207,55.938445,44.87
-3.319545,55.938688,44.57
-3.319765,55.939013,44.18
-3.320049,55.939452,45.01
-3.320366,55.939956,46.43
-3.320671,55.940203,46.44
-3.321041,55.940338,46.3
-3.321567,55.940392,46.06
-3.322307,55.940416,46.77
-3.322951,55.940380,47.25
-3.323472,55.940200,47.37
-3.323750,55.940028,47.52
-3.323997,55.939884,47.63
-3.324357,55.939716,47.74
-3.324936,55.939539,47.96
-3.325494,55.939404,47.83
-3.326304,55.939202,47.96
-3.326867,55.939049,47.83
-3.327543,55.938896,47.67
-3.327908,55.938800,48.1
-3.328348,55.938707,48.65
-3.328809,55.938631,48.56
-3.329598,55.938457,48.26
-3.330370,55.938292,48.23
-3.330950,55.938163,48.82
-3.331481,55.938052,49.35
-3.332382,55.937835,50.22
-3.332849,55.937727,50.46
-3.332988,55.937706,50.51
-3.333106,55.937709,50.5
-3.333256,55.937736,50.43
-3.333423,55.937826,49.89
-3.333600,55.937982,48.88
-3.333685,55.938451,47.43
-3.333771,55.938884,46.14
-3.333857,55.939322,45.19
-3.333932,55.939773,44.55
-3.334050,55.940025,44.11
-3.334275,55.940272,43.54
-3.334533,55.940470,43
-3.334823,55.940578,42.52
-3.335134,55.940692,42.2
-3.335563,55.940753,42.16
-3.335992,55.940783,42.13
-3.336325,55.940813,42.06
-3.336743,55.940825,42.12
-3.337204,55.940843,42.64
-3.341721,55.940644,41.62
-3.350530,55.940536,39.03
-3.351077,55.940542,37.92
-3.351581,55.940530,36.99
-3.352128,55.940458,37
-3.352622,55.940344,37.35
-3.353437,55.940140,38.33
-3.353695,55.940128,38.39
-3.353899,55.940158,38.24
-3.354199,55.940266,37.72
-3.354446,55.940434,36.92
-3.354778,55.940831,35.01
-3.355111,55.941263,33.07
-3.355476,55.941678,31.57
-3.355851,55.942044,31.54
-3.356302,55.942531,30.5
-3.356742,55.942964,31.15
-3.356988,55.943342,31.99
-3.357546,55.943889,32
-3.357933,55.944400,31.87
-3.358619,55.945349,31.58
-3.359091,55.945992,30.98
-3.359628,55.946731,31.08
-3.360046,55.947259,31.69
-3.360349,55.947508,31.57
-3.360911,55.947770,30.94